date,sku_id,brand_id,brand,image_url,city_name,category_name,category_id,sub_category_name,sub_category_id,sku_name,est_qty_sold,est_sales_sp,est_sales_mrp,listed_ds_count,ds_count,wt_osa_ls,wt_osa,mrp,sp,discount
01-03-2025,547731,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/a438ef38-28fc-4126-9edb-e4f7953a1e4f.jpg,Agra,Munchies,1237,Bhujia & Mixtures,1178,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil,2,186,198,6,956,0.167,0.001,99,93,0.06
01-03-2025,547731,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/a438ef38-28fc-4126-9edb-e4f7953a1e4f.jpg,Ahmedabad,Munchies,1237,Bhujia & Mixtures,1178,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil,0,0,0,30,956,0,0,99,93,0.06
01-03-2025,547731,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/a438ef38-28fc-4126-9edb-e4f7953a1e4f.jpg,Aligarh,Munchies,1237,Bhujia & Mixtures,1178,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil,2,186,198,1,956,2,0.002,99,93,0.06
01-03-2025,547731,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/a438ef38-28fc-4126-9edb-e4f7953a1e4f.jpg,Alwar,Munchies,1237,Bhujia & Mixtures,1178,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil,0,0,0,2,956,0,0,99,93,0.06
01-03-2025,547731,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/a438ef38-28fc-4126-9edb-e4f7953a1e4f.jpg,Ambala,Munchies,1237,Bhujia & Mixtures,1178,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil,1,93,99,1,956,1,0.001,99,93,0.06
01-03-2025,547731,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/a438ef38-28fc-4126-9edb-e4f7953a1e4f.jpg,Amravati,Munchies,1237,Bhujia & Mixtures,1178,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil,0,0,0,1,956,0,0,99,93,0.06
01-03-2025,547731,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/a438ef38-28fc-4126-9edb-e4f7953a1e4f.jpg,Amritsar,Munchies,1237,Bhujia & Mixtures,1178,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil,4,372,396,5,956,0.8,0.004,99,93,0.06
01-03-2025,547731,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/a438ef38-28fc-4126-9edb-e4f7953a1e4f.jpg,Bahadurgarh,Munchies,1237,Bhujia & Mixtures,1178,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil,0,0,0,1,956,0,0,99,93,0.06
01-03-2025,547731,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/a438ef38-28fc-4126-9edb-e4f7953a1e4f.jpg,Barabanki,Munchies,1237,Bhujia & Mixtures,1178,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil,0,0,0,1,956,0,0,99,93,0.06
01-03-2025,547731,17390,Sweet Karam Coffee,https://cdn.grofers.com/app/assets/products/sliding_images/jpeg/a438ef38-28fc-4126-9edb-e4f7953a1e4f.jpg,Bathinda,Munchies,1237,Bhujia & Mixtures,1178,Sweet Karam Coffee Madras Mixture Namkeen - No Palm Oil,0,0,0,1,956,0,0,99,93,0.06
